x,cpu,ram,tcp_out
1566453600,0.54,14.02,0
1566453660,0.15,14.01,0
1566453720,0.16,14.01,0
1566453780,0.15,14.01,0
1566453840,0.19,14.01,0
1566453900,0.26,14.03,0
1566453960,0.32,14.03,0
1566454020,0.15,14.02,0
1566454080,0.15,14.02,0
1566454140,0.28,14.03,0
1566454200,0.29,14.03,0
1566454260,0.33,14.04,0
1566454320,0.18,14.03,0
1566454380,0.17,14.03,0
1566454440,0.17,14.03,0
1566454500,0.33,14.02,0
1566454560,0.32,14.04,0.01
1566454620,0.23,14.03,0
1566454680,0.15,14.03,0
1566454740,0.15,14.03,0
1566454800,0.24,14.03,0
1566454860,0.29,14.03,0
1566454920,0.16,14.03,0
1566454980,0.17,14.03,0
1566455040,0.17,14.03,0
1566455100,0.45,14.03,0
1566455160,0.28,14.04,0
1566455220,0.16,14.04,0
1566455280,0.17,14.03,0
1566455340,0.17,14.03,0
1566455400,0.24,14.03,0
1566455460,0.3,14.04,0
1566455520,0.19,14.03,0
1566455580,0.19,14.04,0
1566455640,0.17,14.04,0
1566455700,,14.04,0
1566455760,,14.05,0
1566455820,,14.03,0
1566455880,,14.03,0
1566455940,,14.03,0
1566456000,,14.04,0
1566456060,0.17,14.04,0
1566456120,0.3,14.05,0
1566456180,0.16,14.03,0
1566456240,0.21,14.03,0
1566456300,0.24,14.03,0
1566456360,0.16,14.03,0
1566456420,0.29,14.05,0
1566456480,0.17,14.04,0
1566456540,0.18,14.04,0
1566456600,0.27,14.04,0
1566456660,0.16,14.03,0
1566456720,0.33,14.04,0
1566456780,0.16,14.03,0
1566456840,0.19,14.04,0
1566456900,0.24,14.04,0
1566456960,0.18,14.03,0
1566457020,1.7,14.04,0
1566457080,0.18,14.03,0
1566457140,0.16,14.03,0
1566457200,0.34,14.03,0
1566457260,0.18,14.03,0
1566457320,0.28,14.02,0
1566457380,0.18,14.02,0
1566457440,0.17,14.02,0
1566457500,0.34,14.01,0
1566457560,0.17,14.01,0
1566457620,0.28,14.02,0
1566457680,0.17,14.02,0
1566457740,0.22,14.02,0
1566457800,0.23,14.02,0
1566457860,0.14,14.02,0
1566457920,0.29,14.02,0
1566457980,0.2,14.01,0
1566458040,0.16,14.01,0
1566458100,0.24,14.02,0
1566458160,0.16,14.02,0.01
1566458220,0.17,14.02,0
1566458280,0.29,14.03,0
1566458340,0.17,,0
1566458400,0.38,,0
1566458460,0.2,14.02,0
1566458520,0.16,14.02,0
1566458580,0.3,14.04,0
1566458640,0.18,14.03,0
1566458700,0.31,14.02,0
1566458760,0.16,14.02,0
1566458820,0.16,14.02,0
1566458880,0.29,14.03,0
1566458940,0.15,14.02,0
1566459000,0.31,14.03,0
1566459060,0.17,,0
1566459120,0.17,14.03,0
1566459180,0.3,14.03,0
1566459240,0.2,14.02,0
1566459300,0.27,14.02,0
1566459360,0.16,14.02,0
1566459420,0.15,14.02,0
1566459480,0.3,14.02,0
1566459540,0.41,14.02,0
1566459600,0.28,14.02,0
1566459660,0.16,14.02,0
1566459720,0.15,14.02,0
1566459780,0.28,14.03,0
1566459840,0.15,14.03,0
1566459900,0.33,14.02,0.01
1566459960,0.18,14.02,0
1566460020,0.18,14.02,0
1566460080,0.17,14.02,0
1566460140,5.2,14.36,0.01
1566460200,0.23,14.08,0
1566460260,0.17,14.08,0
1566460320,0.16,14.08,0
1566460380,0.16,14.08,0
1566460440,0.33,14.04,0
1566460500,0.3,14.03,0
1566460560,0.19,14.03,0
1566460620,0.16,14.03,0
1566460680,0.92,14.03,0
1566460740,0.28,14.03,0
1566460800,0.33,14.03,0
1566460860,0.17,14.03,0
1566460920,0.21,14.03,0
1566460980,0.15,14.03,0
1566461040,0.32,14.03,0
1566461100,0.61,,0
1566461160,1.48,,0
1566461220,0.15,,0
1566461280,0.17,14,0
1566461340,0.44,14.03,0
1566461400,0.23,14.03,0
1566461460,0.19,14.03,0.01
1566461520,0.17,14.03,0
1566461580,0.24,14.03,0
1566461640,0.33,14.03,0
1566461700,0.26,14.03,0
1566461760,0.17,14.03,0.01
1566461820,0.17,14.03,0
1566461880,0.17,14.04,0
1566461940,0.27,14.04,0
1566462000,0.25,14.03,0
1566462060,0.11,14.01,0
1566462120,0.1,14.01,0
1566462180,0.07,14.01,0
1566462240,0.09,14.01,0
1566462300,0.37,14.03,0
1566462360,0.08,14.01,0
1566462420,0.09,14.01,0
1566462480,0.08,14.01,0
1566462540,0.07,14.01,0
1566462600,0.34,14.04,0
1566462660,0.07,14.03,0
1566462720,0.08,14.04,0
1566462780,0.07,14.04,0
1566462840,0.07,14.04,0
1566462900,0.37,14.02,0
1566462960,0.07,14.01,0
1566463020,0.07,14.01,0
1566463080,0.07,14.01,0
1566463140,0.25,14.03,0.01
1566463200,0.26,14.04,0
1566463260,0.06,14.03,0
1566463320,0.1,14.03,0
1566463380,0.07,14.03,0
1566463440,0.09,14.04,0
1566463500,0.31,14.04,0
1566463560,0.08,14.03,0
1566463620,0.11,14.03,0
1566463680,0.11,14.03,0
1566463740,0.12,14.04,0
1566463800,0.26,14.05,0
1566463860,0.08,14.04,0
1566463920,0.09,14.03,0
1566463980,0.07,14.03,0
1566464040,0.1,14.03,0
1566464100,0.25,14.03,0
1566464160,0.06,14.04,0
1566464220,0.06,14.04,0
1566464280,0.07,14.04,0
1566464340,0.07,14.03,0
1566464400,0.36,14.03,0
1566464460,0.26,14.04,0
1566464520,0.08,14.03,0
1566464580,0.08,14.04,0
1566464640,0.09,14.04,0
1566464700,0.16,14.04,0
1566464760,0.23,14.04,0
1566464820,0.07,14.03,0
1566464880,0.09,14.03,0
1566464940,0.21,14.04,0
1566465000,0.22,14.04,0
1566465060,0.21,14.05,0
1566465120,0.09,14.04,0
1566465180,0.07,14.04,0
1566465240,0.09,14.04,0
1566465300,0.22,14.02,0
1566465360,0.3,14.05,0.01
1566465420,0.12,14.04,0
1566465480,0.07,14.03,0
1566465540,0.11,14.03,0.03
